feature_family,total_mean_abs_shap,feature_count,percentage_contribution
Color (HSV),18.683878,120,50.04
Texture (LBP & Gray),11.096703,48,29.72
Texture (GLCM),3.40971,20,9.13
Frequency (DCT),2.115343,16,5.67
Edge (Canny),2.034617,12,5.45
