Feature,RF_Importance,LR_Coefficient,LR_Abs_Coefficient
lbp_hist_6_std,0.01138186367238887,0.720698193623927,0.720698193623927
lbp_hist_3_std,0.011377152114427093,0.7273945129512409,0.7273945129512409
lbp_hist_9_std,0.00920058916375568,-0.23423180085129464,0.23423180085129464
lbp_hist_2_std,0.008171410062543795,-0.32168990982908663,0.32168990982908663
h_hist_7_std,0.008000374874232219,0.5027249134836054,0.5027249134836054
edge_mean_std,0.007749547692153445,0.3149715325620673,0.3149715325620673
lbp_hist_7_std,0.007717380951435134,-0.7839492014981193,0.7839492014981193
edge_density_std,0.007066136267196502,0.31497153256209903,0.31497153256209903
h_hist_2_std,0.0068325757202823845,-0.21354935067993938,0.21354935067993938
lbp_hist_5_std,0.00681514535495058,0.6563557262832159,0.6563557262832159
v_hist_1_std,0.006794464236882027,0.12463078632305255,0.12463078632305255
v_hist_0_std,0.006792328406111969,0.21252104380432552,0.21252104380432552
v_hist_4_std,0.0066988671310360655,0.24282665752928262,0.24282665752928262
h_hist_4_std,0.006698526612201944,-0.23463832832232281,0.23463832832232281
h_hist_2_max,0.006651603113602459,-0.1769295588042876,0.1769295588042876
h_hist_0_std,0.0066436587117789025,-0.30940990510167027,0.30940990510167027
s_hist_3_std,0.006620851086776276,0.09732818273537595,0.09732818273537595
lbp_hist_1_std,0.006498896499693547,0.6779284532680829,0.6779284532680829
v_hist_3_std,0.0064614847563610675,-0.31806014148087575,0.31806014148087575
lbp_hist_3_max,0.006458557872102435,0.4052902833592252,0.4052902833592252
h_hist_6_std,0.006455955663840967,-0.4114572155926975,0.4114572155926975
lbp_hist_8_std,0.006447477537849526,-0.08025764988353358,0.08025764988353358
s_std_std,0.006388700997296592,0.5069826500056438,0.5069826500056438
lbp_hist_4_min,0.006387464830698121,0.1778057308214598,0.1778057308214598
s_hist_5_std,0.00637579965815608,0.3550042077290057,0.3550042077290057
lbp_hist_0_std,0.0063620099140281,-0.595275977989194,0.595275977989194
gray_std_std,0.006357162409365342,-0.04430027216354529,0.04430027216354529
h_hist_6_max,0.006338370137908594,-0.032721725207224675,0.032721725207224675
h_hist_1_std,0.006290323538989271,0.030993772224319385,0.030993772224319385
h_hist_3_std,0.006273110744005705,-0.25526725119642,0.25526725119642
lbp_hist_4_std,0.006243477570681837,0.5523004484173025,0.5523004484173025
edge_std_std,0.006197708579042361,-0.30680717071307645,0.30680717071307645
v_hist_5_std,0.006185271526675955,0.28640261418952484,0.28640261418952484
lbp_hist_5_max,0.006171866926828351,-0.2912850769887971,0.2912850769887971
h_hist_6_min,0.006014855807026172,0.05672838587995151,0.05672838587995151
glcm_correlation_std,0.005979877036847991,-0.31705885441138554,0.31705885441138554
h_hist_7_min,0.005936904361159511,-0.23794461378745835,0.23794461378745835
glcm_correlation_max,0.005799976794247833,-0.46790531571844934,0.46790531571844934
h_hist_1_max,0.005787957091469356,-0.015083431400787278,0.015083431400787278
h_hist_7_max,0.005760578121663338,-0.1422252713638933,0.1422252713638933
