Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.5339,0.581,0.8966,0.5149,0.6541,0.5702
Random Forest,0.8559,0.5,0.8559,1.0,0.9224,0.574
Support Vector Machine (SVM),0.3136,0.5745,0.9545,0.2079,0.3415,0.4211
