phase,model,test_balanced_accuracy,test_real_recall,test_fake_recall,test_roc_auc,TN,FP,FN,TP
Phase_10C_Baseline,HistGradientBoostingClassifier (default threshold),0.5,0.0,1.0,0.5343,0,17,0,85
Phase_12B_Corrected,LR C=10.0,0.5,0.7647,0.2353,0.4879,13,4,65,20
