Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
HistGradientBoosting,0.8229,0.5188,0.8387,0.975,0.9017,0.4219,0.8212
Logistic Regression,0.5312,0.5188,0.8431,0.5375,0.6565,0.4937,0.8325
Extra Trees,0.8333,0.5,0.8333,1.0,0.9091,0.5301,0.8596
Random Forest,0.8333,0.5,0.8333,1.0,0.9091,0.4844,0.8274
RBF SVM,0.1667,0.5,0.0,0.0,0.0,0.5086,0.843
Linear SVM,0.4792,0.4875,0.8261,0.475,0.6032,0.507,0.8365
