feature,feature_family,mean_abs_shap,mean_shap,direction
dct_high_low_ratio_std,Frequency (DCT),0.172132,-0.043649,Pushes REAL
lbp_hist_4_min,Texture (LBP & Gray),0.171214,0.103132,Pushes FAKE
dct_mid_energy_min,Frequency (DCT),0.17058,0.055598,Pushes FAKE
s_hist_5_max,Color (HSV),0.170043,-0.075311,Pushes REAL
s_mean_std,Color (HSV),0.16788,-0.013774,Pushes REAL
s_hist_3_max,Color (HSV),0.167858,0.016607,Pushes FAKE
dct_low_energy_min,Frequency (DCT),0.166048,0.02203,Pushes FAKE
s_hist_1_max,Color (HSV),0.165032,-0.006737,Pushes REAL
h_hist_2_std,Color (HSV),0.163882,-0.024598,Pushes REAL
h_hist_7_max,Color (HSV),0.163578,-0.044513,Pushes REAL
v_hist_4_std,Color (HSV),0.16346,0.076483,Pushes FAKE
lbp_hist_6_mean,Texture (LBP & Gray),0.162157,0.019107,Pushes FAKE
h_hist_1_min,Color (HSV),0.161246,0.001574,Pushes FAKE
lbp_hist_7_min,Texture (LBP & Gray),0.153685,0.042767,Pushes FAKE
edge_density_mean,Edge (Canny),0.152471,0.067064,Pushes FAKE
edge_mean_mean,Edge (Canny),0.152471,0.067064,Pushes FAKE
v_std_min,Color (HSV),0.151392,-0.118477,Pushes REAL
edge_density_max,Edge (Canny),0.151002,-0.049361,Pushes REAL
edge_mean_max,Edge (Canny),0.151002,-0.049361,Pushes REAL
lbp_hist_9_std,Texture (LBP & Gray),0.149867,0.014795,Pushes FAKE
glcm_energy_std,Texture (GLCM),0.148701,0.030163,Pushes FAKE
lbp_hist_0_max,Texture (LBP & Gray),0.148391,0.09711,Pushes FAKE
h_hist_0_std,Color (HSV),0.147282,0.016198,Pushes FAKE
v_hist_7_max,Color (HSV),0.145227,0.125816,Pushes FAKE
v_hist_6_max,Color (HSV),0.144701,-0.06594,Pushes REAL
v_hist_6_mean,Color (HSV),0.14349,0.036151,Pushes FAKE
v_hist_3_std,Color (HSV),0.142666,0.023035,Pushes FAKE
lbp_hist_8_max,Texture (LBP & Gray),0.142331,0.088295,Pushes FAKE
glcm_correlation_mean,Texture (GLCM),0.138063,-0.032447,Pushes REAL
glcm_energy_min,Texture (GLCM),0.137455,-0.059551,Pushes REAL
s_hist_1_std,Color (HSV),0.136373,-0.021696,Pushes REAL
lbp_hist_4_mean,Texture (LBP & Gray),0.135705,-0.083781,Pushes REAL
edge_std_min,Edge (Canny),0.134392,-0.082094,Pushes REAL
h_hist_4_std,Color (HSV),0.131236,-0.025405,Pushes REAL
s_hist_0_min,Color (HSV),0.129351,0.001255,Pushes FAKE
h_hist_2_min,Color (HSV),0.129169,-0.001191,Pushes REAL
gray_mean_std,Texture (LBP & Gray),0.128368,0.036556,Pushes FAKE
v_hist_0_max,Color (HSV),0.121954,0.087169,Pushes FAKE
