Feature_Subset_Configuration,Feature_Count,Val_Accuracy,Val_Balanced_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Test_Balanced_Accuracy,Test_F1,Test_ROC_AUC
Set A: All 216 Features,216,0.5339,0.581,0.8966,0.5149,0.6541,0.5702,0.5976,0.7862,0.6016
Set B: Remove Color Features,96,0.6186,0.5571,0.8784,0.6436,0.7429,0.5789,0.5203,0.7838,0.5955
Set C: Remove LBP/Gray Features,168,0.5508,0.5419,0.875,0.5545,0.6788,0.551,0.5671,0.7429,0.6159
Set D: Color + LBP/Gray Only,168,0.5254,0.5515,0.8814,0.5149,0.65,0.5545,0.5437,0.7639,0.5945
Set E: GLCM + DCT + Edge Only,48,0.5932,0.5422,0.8732,0.6139,0.7209,0.5446,0.5661,0.6818,0.6026
